Reading	Plate	Well	Type	Group	Sample	Meas. time [s]	RFU	Em	Ex	
1	1	 A07	Unknown	Assay	1 1/4	0	0.251501	520	490	
1	1	 B07	Unknown	Assay	1 2/4	0.25	0.258994	520	490	
1	1	 C07	Unknown	Assay	2 1/4	0.5	0.233082	520	490	
1	1	 D07	Unknown	Assay	2 2/4	0.75	0.249368	520	490	
1	1	 E07	Unknown	Assay	3 1/4	1	0.256557	520	490	
1	1	 F07	Unknown	Assay	3 2/4	1.25	0.232071	520	490	
1	1	 G07	Unknown	Assay	4 1/4	1.5	0.24046	520	490	
1	1	 H07	Unknown	Assay	4 2/4	1.75	0.260148	520	490	
1	1	 H08	Unknown	Assay	4 4/4	2	0.234814	520	490	
1	1	 G08	Unknown	Assay	4 3/4	2.25	0.237473	520	490	
1	1	 F08	Unknown	Assay	3 4/4	2.5	0.222836	520	490	
1	1	 E08	Unknown	Assay	3 3/4	2.75	0.247897	520	490	
1	1	 D08	Unknown	Assay	2 4/4	3	0.246944	520	490	
1	1	 C08	Unknown	Assay	2 3/4	3.25	0.24618	520	490	
1	1	 B08	Unknown	Assay	1 4/4	3.5	0.23787	520	490	
1	1	 A08	Unknown	Assay	1 3/4	3.75	0.2356	520	490	
1	1	 A09	Unknown	Assay	5 1/4	4	0.231452	520	490	
1	1	 B09	Unknown	Assay	5 2/4	4.25	0.238294	520	490	
1	1	 C09	Unknown	Assay	6 1/4	4.5	0.245611	520	490	
1	1	 D09	Unknown	Assay	6 2/4	4.75	0.236699	520	490	
1	1	 E09	Unknown	Assay	7 1/4	5	0.247754	520	490	
1	1	 F09	Unknown	Assay	7 2/4	5.25	0.247147	520	490	
1	1	 G09	Unknown	Assay	air 1/4	5.5	0.243525	520	490	
1	1	 H09	Unknown	Assay	air 2/4	5.75	0.246161	520	490	
1	1	 H10	Unknown	Assay	air 4/4	6	0.214028	520	490	
1	1	 G10	Unknown	Assay	air 3/4	6.25	0.222134	520	490	
1	1	 F10	Unknown	Assay	7 4/4	6.5	0.247789	520	490	
1	1	 E10	Unknown	Assay	7 3/4	6.75	0.320625	520	490	
1	1	 D10	Unknown	Assay	6 4/4	7	0.229309	520	490	
1	1	 C10	Unknown	Assay	6 3/4	7.25	0.259005	520	490	
1	1	 B10	Unknown	Assay	5 4/4	7.5	0.243805	520	490	
1	1	 A10	Unknown	Assay	5 3/4	7.75	0.23926	520	490	
2	1	 A07	Unknown	Assay	1 1/4	119.77	0.255411	520	490	
