Reading	Plate	Well	Type	Group	Sample	Meas. time [s]	RFU	Em	Ex	
3	1	 D01	Unknown	Assay	4 1/4	240.53	0.342399	520	490	
3	1	 E01	Unknown	Assay	5 1/4	240.78	0.357268	520	490	
3	1	 F01	Unknown	Assay	6 1/4	241.03	0.763206	520	490	
3	1	 G01	Unknown	Assay	7 1/4	241.28	0.257249	520	490	
3	1	 H01	Unknown	Assay	8 1/4	241.53	2.02191	520	490	
3	1	 H02	Unknown	Assay	8 2/4	241.78	2.01084	520	490	
3	1	 G02	Unknown	Assay	7 2/4	242.03	0.237141	520	490	
3	1	 F02	Unknown	Assay	6 2/4	242.28	0.721371	520	490	
3	1	 E02	Unknown	Assay	5 2/4	242.53	0.327491	520	490	
3	1	 D02	Unknown	Assay	4 2/4	242.78	0.293675	520	490	
3	1	 C02	Unknown	Assay	3 2/4	243.03	0.283767	520	490	
3	1	 B02	Unknown	Assay	2 2/4	243.28	0.293519	520	490	
3	1	 A02	Unknown	Assay	1 2/4	243.53	0.296859	520	490	
3	1	 A03	Unknown	Assay	1 3/4	243.78	0.302117	520	490	
3	1	 B03	Unknown	Assay	2 3/4	244.03	0.294591	520	490	
3	1	 C03	Unknown	Assay	3 3/4	244.28	0.285959	520	490	
3	1	 D03	Unknown	Assay	4 3/4	244.53	0.335619	520	490	
3	1	 E03	Unknown	Assay	5 3/4	244.78	0.389011	520	490	
3	1	 F03	Unknown	Assay	6 3/4	245.03	0.709936	520	490	
3	1	 G03	Unknown	Assay	7 3/4	245.28	0.242188	520	490	
3	1	 H03	Unknown	Assay	8 3/4	245.53	1.9072	520	490	
3	1	 H04	Unknown	Assay	8 4/4	245.78	1.8127	520	490	
3	1	 G04	Unknown	Assay	7 4/4	246.03	0.218321	520	490	
3	1	 F04	Unknown	Assay	6 4/4	246.28	0.687059	520	490	
3	1	 E04	Unknown	Assay	5 4/4	246.53	0.351312	520	490	
3	1	 D04	Unknown	Assay	4 4/4	246.78	0.322512	520	490	
3	1	 C04	Unknown	Assay	3 4/4	247.03	0.261473	520	490	
3	1	 B04	Unknown	Assay	2 4/4	247.28	0.3029	520	490	
