Reading	Plate	Well	Type	Group	Sample	Meas. time [s]	RFU	Em	Ex	
3	1	 F02	Unknown	Assay	3 4/4	602.74	24.7136	520	490	
3	1	 E02	Unknown	Assay	3 3/4	602.99	24.8323	520	490	
3	1	 D02	Unknown	Assay	2 4/4	603.24	15.0775	520	490	
3	1	 C02	Unknown	Assay	2 3/4	603.49	14.1812	520	490	
3	1	 B02	Unknown	Assay	1 4/4	603.98	0.425036	520	490	
3	1	 A02	Unknown	Assay	1 3/4	604.23	0.40743	520	490	
3	1	 A03	Unknown	Assay	5 1/4	604.48	0.180646	520	490	
3	1	 B03	Unknown	Assay	5 2/4	604.73	0.190068	520	490	
3	1	 C03	Unknown	Assay	6 1/4	604.98	0.192782	520	490	
3	1	 D03	Unknown	Assay	6 2/4	605.23	0.181743	520	490	
3	1	 E03	Unknown	Assay	7 1/4	605.48	0.252	520	490	
3	1	 F03	Unknown	Assay	7 2/4	605.73	0.177014	520	490	
3	1	 G03	Unknown	Assay	air 1/4	605.98	0.225053	520	490	
3	1	 H03	Unknown	Assay	air 2/4	606.23	0.223383	520	490	
3	1	 H04	Unknown	Assay	air 4/4	606.48	0.199381	520	490	
3	1	 G04	Unknown	Assay	air 3/4	606.73	0.198116	520	490	
3	1	 F04	Unknown	Assay	7 4/4	606.98	0.163748	520	490	
3	1	 E04	Unknown	Assay	7 3/4	607.23	0.175692	520	490	
3	1	 D04	Unknown	Assay	6 4/4	607.48	0.186416	520	490	
3	1	 C04	Unknown	Assay	6 3/4	607.73	0.179578	520	490	
3	1	 B04	Unknown	Assay	5 4/4	607.98	0.196555	520	490	
3	1	 A04	Unknown	Assay	5 3/4	608.23	0.179861	520	490	
4	1	 A01	Unknown	Assay	1 1/4	899.99	0.409099	520	490	
4	1	 B01	Unknown	Assay	1 2/4	900.24	0.443148	520	490	
4	1	 C01	Unknown	Assay	2 1/4	900.74	13.7491	520	490	
4	1	 D01	Unknown	Assay	2 2/4	900.99	12.8706	520	490	
4	1	 E01	Unknown	Assay	3 1/4	901.24	11.1068	520	490	
4	1	 F01	Unknown	Assay	3 2/4	901.49	22.2815	520	490	
4	1	 G01	Unknown	Assay	4 1/4	901.74	28.3716	520	490	
4	1	 H01	Unknown	Assay	4 2/4	901.99	26.2743	520	490	
4	1	 H02	Unknown	Assay	4 4/4	902.24	25.8433	520	490	
4	1	 G02	Unknown	Assay	4 3/4	902.49	26.3096	520	490	
4	1	 F02	Unknown	Assay	3 4/4	902.74	24.6466	520	490	
4	1	 E02	Unknown	Assay	3 3/4	902.99	25.1988	520	490	
4	1	 D02	Unknown	Assay	2 4/4	903.24	13.6387	520	490	
4	1	 C02	Unknown	Assay	2 3/4	903.49	12.1564	520	490	
4	1	 B02	Unknown	Assay	1 4/4	903.98	0.389852	520	490	
4	1	 A02	Unknown	Assay	1 3/4	904.23	0.421487	520	490	
4	1	 A03	Unknown	Assay	5 1/4	904.48	0.179672	520	490	
4	1	 B03	Unknown	Assay	5 2/4	904.73	0.204902	520	490	
4	1	 C03	Unknown	Assay	6 1/4	904.98	0.185152	520	490	
4	1	 D03	Unknown	Assay	6 2/4	905.23	0.204991	520	490	
4	1	 E03	Unknown	Assay	7 1/4	905.48	0.241923	520	490	
4	1	 F03	Unknown	Assay	7 2/4	905.73	0.209188	520	490	
4	1	 G03	Unknown	Assay	air 1/4	905.98	0.209387	520	490	
4	1	 H03	Unknown	Assay	air 2/4	906.23	0.209467	520	490	
4	1	 H04	Unknown	Assay	air 4/4	906.48	0.210916	520	490	
4	1	 G04	Unknown	Assay	air 3/4	906.73	0.200322	520	490	
4	1	 F04	Unknown	Assay	7 4/4	906.98	0.16911	520	490	
4	1	 E04	Unknown	Assay	7 3/4	907.23	0.175902	520	490	
4	1	 D04	Unknown	Assay	6 4/4	907.48	0.169653	520	490	
4	1	 C04	Unknown	Assay	6 3/4	907.73	0.183847	520	490	
4	1	 B04	Unknown	Assay	5 4/4	907.98	0.20992	520	490	
4	1	 A04	Unknown	Assay	5 3/4	908.23	0.170932	520	490	
5	1	 A01	Unknown	Assay	1 1/4	1199.99	0.400469	520	490	
5	1	 B01	Unknown	Assay	1 2/4	1200.24	0.419961	520	490	
5	1	 C01	Unknown	Assay	2 1/4	1200.72	12.8757	520	490	
5	1	 D01	Unknown	Assay	2 2/4	1200.97	11.6126	520	490	
5	1	 E01	Unknown	Assay	3 1/4	1201.22	10.0797	520	490	
5	1	 F01	Unknown	Assay	3 2/4	1201.47	21.9212	520	490	
5	1	 G01	Unknown	Assay	4 1/4	1201.72	27.8206	520	490	
5	1	 H01	Unknown	Assay	4 2/4	1201.97	25.6054	520	490	
5	1	 H02	Unknown	Assay	4 4/4	1202.22	24.6281	520	490	
5	1	 G02	Unknown	Assay	4 3/4	1202.47	25.8569	520	490	
5	1	 F02	Unknown	Assay	3 4/4	1202.72	25.0708	520	490	
5	1	 E02	Unknown	Assay	3 3/4	1202.97	24.4191	520	490	
5	1	 D02	Unknown	Assay	2 4/4	1203.22	12.8761	520	490	
